task,n_pos,t,LRT_p(S3),b3_free,mrank_A(noCLIB),mrank_B(offset),mrank_C(freeb3),d_B-A,d_B-A_CI,d_C-A,d_C-A_CI,AUPRC_A,AUPRC_B,AUROC_A,AUROC_B,offset_helps
Omicron,30,0.1,0.05787353127632181,0.6453070326830801,400.53333333333336,379.4,393.8333333333333,-21.2985,"[-72,16]",-6.230816666666668,"[-39,19]",0.10688169176419335,0.07682423425684025,0.984061210691173,0.9849360433828704,False
Omicron,30,1.0,0.2555107696257588,0.2915718500420527,400.53333333333336,416.7,402.3333333333333,15.865033333333333,"[-66,91]",1.6574166666666668,"[-28,27]",0.10688169176419335,0.06530875867812684,0.984061210691173,0.9833919774806474,False
DMS,19,0.1,0.00033182912202963787,1.453114805785085,4682.263157894737,3247.7894736842104,3114.1052631578946,-1433.158052631579,"[-2492,-466]",-1554.7036842105263,"[-2885,-267]",0.0036151776079939592,0.004287040325083295,0.8066756389484137,0.8660298959912194,True
DMS,19,1.0,0.044938394585652186,0.6046439878133775,4682.263157894737,4283.421052631579,4323.8421052631575,-395.2972105263158,"[-1078,294]",-357.9609210526316,"[-809,99]",0.0036151776079939592,0.0044339034221658885,0.8066756389484137,0.8231785396958134,False
