task,n_pos,model,mean_rank,AUROC,d_vs_M1,d_CI,beats_M1
DMS,19,M1_cov,2868.115789473684,0.8817396644540846,0.0,"[0,0]",False
DMS,19,M2_cov+base,2950.968421052631,0.8783114688409205,84.08236842105234,"[-544,679]",False
DMS,19,M3_cov+base+hie,2524.6210526315786,0.8959524556176938,-340.91110000000015,"[-812,72]",False
Omicron,30,M1_cov,390.91999999999996,0.9844591629755349,0.0,"[0,0]",False
Omicron,30,M2_cov+base,525.5933333333334,0.9788842433525135,136.80391666666668,"[56,232]",False
Omicron,30,M3_cov+base+hie,827.3266666666667,0.9663937299057554,442.84090999999995,"[210,742]",False
