task,n_pos,featset,mean_rank,AUROC,d_vs_base,CI,beats_base
DMS,19,base,2868.115789473684,0.8817396644540846,0.0,"[0,0]",False
DMS,19,+L2,3171.6631578947367,0.8691797766511611,301.2363210526314,"[-179,772]",False
DMS,19,L2only,2930.705263157895,0.8791498980818482,61.91357368421041,"[-4,141]",False
Omicron,30,base,390.91999999999996,0.9844591629755349,0.0,"[0,0]",False
Omicron,30,+L2,549.5866666666667,0.9778910184763561,161.33208000000002,"[76,252]",False
Omicron,30,L2only,391.7466666666667,0.9844249423907495,0.8007100000000321,"[-4,6]",False
