held_strain,n_pos,mr_A(prot),mr_B(prot+off),mr_C(CLIBonly),AUROC_A,AUROC_B,AUROC_C,d_B-A,d_CI,offset_helps
WildType,19,9940.105263157895,2965.2105263157896,2798.3684210526317,0.5891217617031655,0.8777221728601543,0.8835291120054356,-6987.590236842105,"[-8690,-5257]",True
Alpha,19,9688.368421052632,2997.842105263158,2792.4210526315787,0.5985911649847526,0.8760797102872897,0.8835058905195052,-6677.037026315789,"[-8584,-4779]",True
Beta,18,9432.777777777777,3533.4444444444443,3424.0555555555557,0.6091872189043722,0.85385101010101,0.8572460462287105,-5911.098888888889,"[-7729,-4157]",True
Gamma,19,9526.78947368421,3113.684210526316,2799.0526315789475,0.6062235404797993,0.8715787731493579,0.883499712538546,-6399.247368421054,"[-8324,-4520]",True
Delta,0,,,,,,,,"[nan,nan]",False
Omicron,18,9565.777777777777,4529.5,4471.777777777777,0.603671293224213,0.8125414731254148,0.8138582448573325,-5047.098972222222,"[-7221,-3111]",True
