backbone,task,n_pos,mr_A,mr_Bfull,mr_Bfix(t=.01),mr_Bmin(codon),AUROC_Bfull,AUROC_Bfix,AUROC_Bmin,d_fix-full,d_fix_CI,d_min-full,d_min_CI,fix_retains,min_retains
ESM2cov,DMS,19,4333.178947368421,2870.8526315789472,2868.1263157894737,2914.863157894737,0.8816264220631022,0.881739228906427,0.8798053973065734,-3.109605263157766,"[-41,36]",46.7592947368421,"[-227,294]",True,True
ESM2cov,Omicron,30,407.72,400.81999999999994,390.9266666666666,400.0133333333333,0.9840493438754813,0.984458887003077,0.984082736542893,-10.029286666666696,"[-17,-4]",-0.28600666666668223,"[-32,38]",True,True
ESM2-650M,DMS,19,11435.621052631579,3709.1684210526314,3701.242105263158,4540.831578947369,0.8469394066098712,0.8472673739960627,0.8125276572762591,-8.546221052631449,"[-53,56]",843.6552631578949,"[137,1466]",True,False
ESM2-650M,Omicron,30,8748.033333333333,3010.486666666666,3042.1466666666665,3929.92,0.8760199252114639,0.8747093320086654,0.8379591836734693,33.26887333333333,"[-76,163]",919.2365933333333,"[309,1505]",True,False
Hie,DMS,19,4618.357894736843,2259.7473684210527,2319.484210526316,2243.5157894736844,0.9069121413265041,0.9044404083694838,0.9075837558145612,59.982847368421105,"[-5,129]",-17.86862105263154,"[-222,181]",True,True
Hie,Omicron,30,4421.64,2626.1466666666665,2583.733333333332,2743.3,0.8919300133846642,0.8936857501621338,0.8870803493811318,-42.70413666666679,"[-100,-5]",120.21506333333329,"[-80,341]",True,True
