variant,n_pos,equal_AUROC,proxy_full_AUROC,proxy_LOVO_AUROC,equal_meanrank,proxy_LOVO_meanrank,b0_lovo,b1_lovo,dAUROC_LOVO_vs_equal,CI
Alpha,7,0.8861,0.9347,0.9344,2759.1,1590.0,0.197,1.509,0.0484,"[np.float64(0.0149), np.float64(0.0759)]"
Beta,8,0.9387,0.9765,0.9762,1487.4,579.9,0.186,1.478,0.0375,"[np.float64(0.0161), np.float64(0.0625)]"
Gamma,1,0.9341,0.9947,0.9945,1594.0,135.0,0.192,1.532,0.0603,"[np.float64(0.0603), np.float64(0.0603)]"
Delta,7,0.9541,0.9875,0.9868,1114.0,323.4,0.188,1.47,0.0327,"[np.float64(0.0159), np.float64(0.0489)]"
Omicron,30,0.9485,0.9834,0.9818,1258.9,455.9,0.181,1.262,0.0332,"[np.float64(0.0228), np.float64(0.0434)]"
