backbone,task,n_pos,N,mr_A(noCLIB),mr_B(offset),mr_C(freeb3),mr_L_oos(legacy),mr_L_insample,dBA,dBA_CI,AUROC_A,AUROC_B,AUPRC_A,AUPRC_B,t*_B(mode),offset_helps
ESM2cov,DMS,19,24187,4333.178947368421,2870.8526315789472,2773.084210526316,3026.3684210526317,2266.8947368421054,-1457.2231578947371,"[-2420,-581]",0.8211197059182215,0.8816264220631022,0.003770170974140028,0.0044791987525587915,0.001,True
ESM2cov,Omicron,30,24187,407.72,400.81999999999994,427.4666666666666,400.93333333333334,336.43333333333334,-6.628639999999994,"[-44,25]",0.9837637123815043,0.9840493438754813,0.08067052635416513,0.0781541126117625,0.001,False
ESM2-650M,DMS,19,24187,11435.621052631579,3709.1684210526314,3211.1263157894737,3092.8947368421054,2717.7894736842104,-7704.340763157896,"[-9426,-6130]",0.5272417637937943,0.8469394066098712,0.0008744599862360789,0.0027841580039367824,0.01,True
ESM2-650M,Omicron,30,24187,8748.033333333333,3010.486666666666,2821.62,2744.133333333333,2597.9,-5703.420203333333,"[-7396,-4145]",0.6385091967821611,0.8760199252114639,0.0017687991567852189,0.005786761512388324,0.033,True
Hie,DMS,19,24187,4618.357894736843,2259.7473684210527,2139.7263157894736,2044.9473684210527,2012.2631578947369,-2354.6923368421053,"[-3161,-1582]",0.8093198487778533,0.9069121413265041,0.0024053499161519865,0.004940282548150951,0.001,True
Hie,Omicron,30,24187,4421.64,2626.1466666666665,2287.0266666666666,2144.133333333333,2086.3,-1808.4659199999999,"[-2603,-1119]",0.8176040071200894,0.8919300133846642,0.02527226671235917,0.021070428489291314,0.01,True
